"UID","dply_num","lab_date","sample_type","col_sample_type_alt","sampleid","mf","neighborhood","neighb_UID","lab_1_ecoli","lab_2_ecoli","lab_3_ecoli","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","count1","count2","dil1","dil2","count3","dil3","ec_conc"
"09_01_1351",9,"2018-11-26",1,"","1351",TRUE,"3",903,1,0,,0.001,1e-04,,1,0,,1,0,0.001,1e-04,,,1e+05
"09_01_1352",9,"2018-11-26",1,"","1352",TRUE,"3",903,140,72,,0.001,1e-04,,140,72,,140,72,0.001,1e-04,,,4.3e+07
"09_01_1353",9,"2018-11-24",1,"","1353",TRUE,"3",903,999,43,,0.001,1e-04,,999,43,,999,43,0.001,1e-04,,,4.3e+07
"09_01_1354",9,"2018-11-26",1,"","1354",TRUE,"3",903,0,3,,0.001,1e-04,,0,3,,0,3,0.001,1e-04,,,
"09_01_1355",9,"2018-11-26",1,"","1355",TRUE,"3",903,999,16,,0.001,1e-04,,999,16,,999,16,0.001,1e-04,,,1.6e+07
"09_01_1356",9,"2018-11-26",1,"","1356",TRUE,"3",903,121,0,,0.001,1e-04,,121,0,,121,0,0.001,1e-04,,,12100000
"09_01_1357",9,"2018-11-26",1,"","1357",TRUE,"3",903,0,4,,0.001,1e-04,,0,4,,0,4,0.001,1e-04,,,
"09_01_1358",9,"2018-11-26",1,"","1358",TRUE,"3",903,136,15,,0.001,1e-04,,136,15,,136,15,0.001,1e-04,,,14300000
"09_01_1359",9,"2018-11-26",1,"","1359",TRUE,"3",903,999,999,,0.001,1e-04,,999,999,,999,999,0.001,1e-04,,,2e+08
"09_01_1360",9,"2018-11-26",1,"","1360",TRUE,"3",903,999,999,,0.001,1e-04,,999,999,,999,999,0.001,1e-04,,,2e+08
"09_01_1361",9,"2018-12-10",1,"","1361",TRUE,"1",901,998,12,,0.001,1e-04,,998,12,,998,12,0.001,1e-04,,,1.2e+07
"09_01_1362",9,"2018-12-10",1,"","1362",TRUE,"1",901,8,0,,0.001,1e-04,,8,0,,8,0,0.001,1e-04,,,8e+05
"09_01_1363",9,"2018-12-10",1,"","1363",TRUE,"1",901,14,3,,0.001,1e-04,,14,3,,14,3,0.001,1e-04,,,1400000
"09_01_1364",9,"2018-12-10",1,"","1364",TRUE,"1",901,1,0,,0.001,1e-04,,1,0,,1,0,0.001,1e-04,,,1e+05
"09_01_1366",9,"2018-12-14",1,"","1366",TRUE,"1",901,7,2,0,0.1,0.01,0.001,7,2,0,7,2,0.1,0.01,0,0.001,13500
"09_01_1367",9,"2018-12-14",1,"","1367",TRUE,"1",901,999,108,3,0.1,0.01,0.001,999,108,3,999,108,0.1,0.01,3,0.001,1080000
"09_01_1368",9,"2018-12-14",1,"","1368",TRUE,"1",901,999,128,0,0.01,0.001,1e-04,999,128,0,999,128,0.01,0.001,0,1e-04,12800000
