deviceid,h_id,h_id_val,h_start,h_location,_h_location_latitude,_h_location_longitude,_h_location_altitude,_h_location_precision,h_gps_device,h_gps_device_id,h_gps_device_wp,h_gps_device_lat,h_gps_device_lon,h_neighborhood,h_home_type,h_population,h_c,h_s,h_s_a,h_s_a_other,h_s_c,h_s_c_other,h_s_additional_info,h_d,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_d_additional_info,h_f,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_f_additional_info,h_m,h_m_a_prim,h_m_a_prim_other,h_m_a_prim_num,h_m_a_prim_num_other,h_m_a_sec,h_m_a_sec_other,h_m_a_sec_num,h_m_a_sec_num_other,h_m_c_prim,h_m_c_prim_other,h_m_c_prim_num,h_m_c_prim_num_other,h_m_c_sec,h_m_c_sec_other,h_m_c_sec_num,h_m_c_sec_num_other,h_m_additional_info,h_t,h_t_f,h_t_f_other,h_t_additional_info,h_p,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_additional_info,h_th,h_th_a,h_th_a_other,h_tu_a,h_tu_a_other,h_tw_a,h_tw_a_other,h_tf_a,h_tf_a_other,h_ts_a,h_ts_a_other,h_latrine_type,h_latrine_type_other,h_th_additional_info,h_pd,h_pd_a,h_pd_a/1,h_pd_a/2,h_pd_a/3,h_pd_a/4,h_pd_a/5,h_pd_a/6,h_pd_a/7,h_pd_a_other,h_pd_additional_info,h_end,h_enum,h_notes,meta/instanceID,_id,_uuid,_submission_time,_index,_parent_table_name,_parent_index
3.59125E+14,1006,1006,2016-09-09T10:35:00.000+07,13.35769273 103.88579656 16.0 5.0,13.35769273,103.8857966,16,5,0,,,,,1,1,13,1,,2,,2,,Go to do loundry,,1,,1,,Go to take scrap,,1,,1,,Flood area,,2,,1,,5,Rain water,3,,2,,1,,5,Rain water,3,,Boil well water,,0,,,,2,,2,,"Morning glory, cabac,",,0,,,,,,,,,,,,Defecate outsize,,2 3 4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,"VS, US",,uuid:0b44f1f8-ee2d-4cea-9469-c6e2ca4e4057,1026,0b44f1f8-ee2d-4cea-9469-c6e2ca4e4057,2016-09-09T12:44:20,1,,-1
3.59125E+14,1005,1005,2016-09-09T10:55:00.000+07,13.357699 103.8858236 0.0 2595.0,13.357699,103.8858236,0,2595,0,,,,,1,1,9,1,,1,,1,,,,4,,4,,Not have open drain,,1,,1,,Flood area,,3,,1,,5,Rain water,3,,3,,1,,5,Rain water,3,,Only big bottle water (20L),,0,,,,3,,3,,"Spring teur., Cabac",,0,,,,,,,,,,,,Defecated out size,,2 3 4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,"US, VS",,uuid:d420f728-b550-4120-aec0-e87e5e548cfa,1027,d420f728-b550-4120-aec0-e87e5e548cfa,2016-09-09T12:44:22,2,,-1
3.59125E+14,12,12,2016-09-07T09:32:00.000+07,13.35741756 103.88638226 5.0 17.0,13.35741756,103.8863823,5,17,0,,,,,1,1,5,0,,4,,,,,,4,,,,,,1,,,,Across rain flooding,,3,,1,,5,Only bottle water,6,Only bottle water,,,,,,,,,,,0,,,,2,,,,Cucumber morning glory salad,,1,,1,,1,,1,,2,,4,,No liner,,2 3 4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,Dd,,uuid:195414be-f355-4e36-aa18-e9d6eb711cab,1000,195414be-f355-4e36-aa18-e9d6eb711cab,2016-09-08T10:06:29,3,,-1
3.59125E+14,11,11,2016-09-07T10:16:00.000+07,13.35734146 103.88630364 25.0 6.0,13.35734146,103.8863036,25,6,0,,,,,1,1,5,1,,4,,4,,,,4,,4,,,,4,,1,,,,3,,1,,5,"Only bottles water ,  rain water about 1t/week",6,Only bottles water,3,,1,,5,Same mother,6,Same mother,,,0,,,,3,,3,,"Cucumber ,  morning glory",,1,,1,,1,,0,,3,,4,,,,1 2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Dd,,uuid:445b2533-2014-40c6-9748-cc023d1de298,1001,445b2533-2014-40c6-9748-cc023d1de298,2016-09-08T10:06:31,4,,-1
3.59125E+14,10,10,2016-09-07T11:00:00.000+07,13.35740397 103.88635407 30.0 13.0,13.35740397,103.8863541,30,13,0,,,,,1,1,5,1,,4,,4,,,,4,,4,,,,2,,2,,Play with flooding only when there is raining,,3,,1,,5,"Only bottle water, rain water is used to drink when there is raining.",6,Only bottle water,3,,1,,5,Same mother,6,Same mother,,,0,,,,3,,3,,"Cucumber for child; kachhet; egg plant morning glory,; been germination",,0,,,,,,,,,,,,"Use with other house ,",,2 3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,Dd,,uuid:0d094e03-8d92-4a35-9e0d-b78487e0fbfe,1002,0d094e03-8d92-4a35-9e0d-b78487e0fbfe,2016-09-08T10:06:33,5,,-1
3.59125E+14,14,14,2016-09-07T14:30:00.000+07,13.35750593 103.88642226 5.0 4.0,13.35750593,103.8864223,5,4,0,,,,,1,1,6,1,,4,,4,,,,4,,4,,,,2,,2,,Children play with flood during raining,,3,,1,,5,Only bottle water,1,,3,,1,,5,Only bottle water,6,Only bottle water,,,0,,Drinking directly with bottle water,,3,,3,,,,1,,1,,1,,0,,3,,4,,,,1 2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,"KSC, dd",,uuid:18d8f6b7-316f-48c6-a680-bfa15faec8c4,1003,18d8f6b7-316f-48c6-a680-bfa15faec8c4,2016-09-08T10:06:35,6,,-1
3.59125E+14,16,16,2016-09-07T17:34:00.000+07,13.35748285 103.88655361 -4.0 9.0,13.35748285,103.8865536,-4,9,0,,,,,1,1,7,1,,4,,4,,,,4,,4,,,,2,,2,,,,3,,1,,2,,5,,3,,1,,2,,5,,Boil well water or rain water,,0,,,,3,,3,,Cook vegetables for grand ma only but other raw and cook,,1,,1,,1,,1,,3,,4,,,,1 2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,"KSC, dd",,uuid:4fe3d315-1b8d-4d2a-896c-11d80d374a76,1004,4fe3d315-1b8d-4d2a-896c-11d80d374a76,2016-09-08T10:06:37,7,,-1
3.59125E+14,7,7,2016-09-08T09:20:00.000+07,13.35705383 103.88632475 19.0 5.0,13.35705383,103.8863248,19,5,0,,,,,1,1,3,1,,4,,4,,,,4,,4,,,,3,,3,,,,3,,1,,5,"Rain water, there is storage tank for rain water . One time rain, the water can store for 1 week. They drink directly from store tank",6,N/a,3,,1,,5,Same mother,6,N/a,,,0,,,,3,,3,,,,1,,1,,1,,0,,3,,4,,,,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,Mostly urine,,Dd,,uuid:3d21fe7f-0b22-4be8-9eab-11b1cc38d960,1005,3d21fe7f-0b22-4be8-9eab-11b1cc38d960,2016-09-08T10:06:41,8,,-1
3.59125E+14,9,9,2016-09-08T14:21:00.000+07,13.35733039 103.88622249 -19.0 12.0,13.35733039,103.8862225,-19,12,0,,,,,1,1,8,1,,4,,4,,,,4,,4,,,,1,,1,,,,3,,1,,5,"Only bittle water , blue bottle .",6,N/a,3,,1,,5,Only bottle Water,6,N/a,,,0,,,,3,,3,,Cucumber,,1,,1,,1,,0,,1,,4,,,,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,"DD,ksc",,uuid:7a339901-c78f-4e5b-9b48-59cd2dc61731,1006,7a339901-c78f-4e5b-9b48-59cd2dc61731,2016-09-08T10:06:43,9,,-1
3.59125E+14,17,17,2016-09-08T15:34:00.000+07,13.3574394 103.8866494 -15.0 5.0,13.3574394,103.8866494,-15,5,0,,,,,1,1,2,0,,4,,,,,,4,,,,,,3,,,,,,3,,1,,5,Only bottle water,6,N/a,,,,,,,,,,,0,,,,3,,,,"Cucumber, herb,",,1,,1,,1,,1,,3,,4,,,,1 2 4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,"DD, ksc",,uuid:329113fc-f02d-44f5-9370-ab60ac0bde17,1007,329113fc-f02d-44f5-9370-ab60ac0bde17,2016-09-08T10:06:45,10,,-1
3.59125E+14,19,19,2016-09-08T16:00:00.000+07,13.35751817 103.88704228 55.0 5.0,13.35751817,103.8870423,55,5,0,,,,,1,1,4,1,,4,,4,,,,4,,4,,,,1,,4,,,,3,,1,,5,Only bottle water,4,,3,,1,,5,Only bottle water,6,Only bottle water,,,0,,,,4,,4,,,,1,,1,,1,,0,,3,,4,,,,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,"KSC, dd",,uuid:c1e7ab8d-d23c-4683-bf30-e80f48b9cdee,1008,c1e7ab8d-d23c-4683-bf30-e80f48b9cdee,2016-09-08T10:06:47,11,,-1
